,State,County,Democratic,Republican,FIPS,Total Population,Citizen Voting-Age Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent Less than High School Degree,Percent Less than Bachelor's Degree,Percent Rural,Party,Percent Age between 30 and 64 inclusive,Percent Male,Percent more than High School Degree,Percent more than Bachelor's Degree,Citizen Voting-Age Population voted
115,IN,monroe,34193.0,15540.0,18105,143292,,84.50576445,3.023197387,3.260475114,8.080702342,50.25123524,51.99243503,11.27557714,43389,6.617676057000001,7.772656307999999,54.85589671,21.24820618,Demo,36.731987829999994,49.74876476,92.227343692,45.14410329,49733.0
116,IN,montgomery,3518.0,8362.0,18107,38108,28490.0,92.48714181,0.8922011129999999,4.59483573,2.8839088910000004,49.4226934,38.39351317,16.84423218,50253,5.43772094,11.47316539,83.24988265,52.7541706,Rep,44.76225465,50.5773066,88.52683461,16.750117349999996,11880.0
117,IN,morgan,6471.0,17539.0,18109,69504,,96.42754374,0.340987569,1.408552026,1.2157573659999998,50.5136395,37.143186,15.00057551,57521,6.3730876510000005,11.58594492,84.46976891,49.1378059,Rep,47.85623849,49.4863605,88.41405508,15.530231090000001,24010.0
118,IN,ohio,747.0,1586.0,18115,6003,4760.0,96.8015992,2.315508912,0.6163584870000001,0.33316675,49.97501249,32.20056638,19.39030485,54653,5.910852713,11.40510949,86.15419708,100.0,Rep,48.40912877,50.02498751,88.59489051,13.845802919999997,2333.0
119,IN,owen,2210.0,4601.0,18119,21038,,96.53008841,0.470577051,1.169312672,1.269132047,49.30601768,34.32835821,17.30202491,45388,6.81390512,15.72672472,87.99062291,100.0,Rep,48.369616879999995,50.69398232,84.27327528000001,12.009377090000001,6811.0
120,IN,parke,1499.0,3532.0,18121,17033,,94.92749369,1.849351259,1.4325133559999998,0.986320672,52.50983385,35.9889626,17.11383784,42664,7.00864079,14.52927478,88.21523619,74.97548878,Rep,46.89719955999999,47.49016615,85.47072522,11.784763810000001,5031.0
121,IN,perry,3364.0,3450.0,18123,19301,15170.0,94.46660795,3.087922906,1.227915652,0.911869851,46.55199212,35.95150510000001,16.7348842,47396,4.12371134,13.03612153,86.5739719,55.04188644,Rep,47.313610699999984,53.44800788,86.96387847,13.426028099999996,6814.0
122,IN,pike,1679.0,3235.0,18125,12554,,96.9093516,0.7965588659999999,0.446072965,1.3780468380000002,50.0,34.81758802,18.72709893,48076,3.900536324,13.70034052,87.38933031,100.0,Rep,46.45531305,50.0,86.29965948,12.610669689999995,4914.0
123,IN,porter,33390.0,29368.0,18127,167016,126020.0,84.3248551,3.260166691,9.377544666,3.956507161,50.65382957,38.1993342,14.39143555,64874,6.291125787,8.267956802999999,73.87385794,20.75293745,Demo,47.40923024999999,49.34617043,91.732043197,26.126142060000006,62758.0
124,IN,posey,3881.0,6324.0,18129,25527,19665.0,96.29803737,1.347592745,1.06945587,0.564108591,49.95886708,36.17738081,16.39440592,59918,4.582524272,5.683424757999999,79.43787819,66.761868,Rep,47.42821327,50.04113292,94.316575242,20.562121809999994,10205.0
125,IN,pulaski,1617.0,2583.0,18131,12910,9870.0,94.77149497,0.20914020100000005,2.788536019,0.8055770720000001,49.31061193,36.01859024,18.08675445,44884,7.046070461,12.93103448,89.33049709,80.94314281,Rep,45.89465531,50.68938807,87.06896552,10.669502910000006,4200.0
126,IN,randolph,2467.0,5138.0,18135,25403,19075.0,93.95347006,0.929024131,3.224028658,1.51950557,51.39944101,36.66496083,18.63165768,42418,6.386485372999999,13.60376384,86.92982959,61.86618777,Rep,44.70338149,48.60055899,86.39623616,13.070170410000003,7605.0
127,IN,ripley,2350.0,6880.0,18137,28633,,95.81601648,0.39464953,1.74623686,1.672894911,50.62340656,37.40090106,17.11312122,52372,6.571488558,13.20162577,82.55903689,83.24311194,Rep,45.485977719999994,49.37659344,86.79837423000001,17.44096311,9230.0
128,IN,rush,1690.0,3991.0,18139,16873,,96.32549043,1.149765898,1.42831743,1.060866473,50.97493036,36.74509572,17.41243407,46380,5.65898163,15.39853511,85.97156398,61.16030359,Rep,45.84247021,49.02506964,84.60146489,14.028436020000001,5681.0
129,IN,scott,3113.0,4241.0,18143,23734,,96.31330581,0.219094969,1.849667144,1.3693435580000002,50.82160613,37.07339681,15.90545209,46368,6.746424395,15.39074471,87.01195219,52.71494148,Rep,47.0211511,49.17839387,84.60925529,12.988047809999998,7354.0
130,IN,shelby,4333.0,9340.0,18145,44404,,92.81145843,1.290424286,3.934330241,2.16196739,50.65309432,37.08224484,15.51887217,52651,7.716916692000001,12.25711482,83.36604514,52.0478891,Rep,47.39888299,49.34690568,87.74288518,16.633954860000003,13673.0
131,IN,st. joseph,53758.0,36456.0,18141,267696,,74.03397884,12.74580121,8.142445162000001,6.312757755,51.49348515,41.85680772,14.33342299,46174,7.549116354,12.28626626,71.75456302,9.001577187,Demo,43.80976929,48.50651485,87.71373374,28.245436979999994,90214.0
132,IN,starke,3119.0,4149.0,18149,23069,,94.63349083,0.416142876,3.454852833,1.647232216,50.75209155,36.81564004,16.84511682,43401,9.468074983,17.13149924,88.38970217,82.38239952,Rep,46.33924314,49.24790845,82.86850076,11.610297829999993,7268.0
133,IN,steuben,3864.0,7839.0,18151,34279,,94.11884827,0.247965227,3.357740891,2.170425042,49.23714227,37.20061845,17.21170396,50418,5.936825361,11.52228042,80.05494977,67.24879333,Rep,45.58767759,50.76285773,88.47771958,19.945050230000007,11703.0
134,IN,sullivan,2663.0,4340.0,18153,21026,,92.30476553,4.418339199,1.664605726,0.799010749,46.14287073,35.60829449,16.31313612,43786,5.646527386,13.62448925,87.34007636,78.96158324,Rep,48.07856939000001,53.85712927,86.37551075,12.659923640000002,7003.0
135,IN,tippecanoe,26376.0,22649.0,18157,183397,130720.0,77.76135924,4.663653168,7.976139195,11.01217577,48.8683021,52.92289405,10.24498765,47406,6.173974615,9.26073053,64.7228236,14.50109966,Demo,36.832118300000005,51.1316979,90.73926947,35.2771764,49025.0
136,IN,tipton,1734.0,4062.0,18159,15447,,95.65611446,0.168317473,2.479445847,1.424224769,50.72829676,34.10370946,19.33061436,54023,5.250065462,11.74263225,78.94014278,61.60266064,Rep,46.56567618,49.27170324,88.25736775,21.059857219999998,5796.0
137,IN,union,682.0,1749.0,18161,7251,,96.16604606,0.165494415,0.013791201,0.330988829,49.63453317,36.29844159,17.33553993,45104,5.400056545,11.8415762,81.44350623,100.0,Rep,46.366018479999994,50.36546683,88.1584238,18.556493770000003,2431.0
138,IN,vanderburgh,27183.0,29375.0,18163,181692,139750.0,84.37905907,8.940404641,2.476718843,2.647887634,51.61647183,40.03753605,15.29071175,43311,5.72513715,10.21960976,75.09755898,9.167348347,Rep,44.6717522,48.38352817,89.78039024,24.902441019999998,56558.0
139,IN,vigo,15171.0,14813.0,18167,108099,83605.0,86.02114728,5.83631671,2.505111056,3.400586499,49.17251778,42.4379504,14.65415961,41221,8.129531174,12.31385363,76.82387299999998,23.7584378,Demo,42.90788999,50.82748222,87.68614637,23.176127000000022,29984.0
140,IN,warren,914.0,2208.0,18171,8309,,96.72644121,0.686003129,1.359971116,0.4212299920000001,50.42724756,33.59008304,19.30436876,58623,5.00234852,9.030948757,80.43294436,77.10390221,Rep,47.1055482,49.57275244,90.969051243,19.567055640000007,3122.0
141,IN,warrick,9594.0,14010.0,18173,61427,,93.12354502,1.5009686290000002,1.71260195,2.720302147,50.59175932,36.9169909,16.0711088,61542,4.519540083,7.178531316,72.00038235,29.30690747,Rep,47.01190029999999,49.40824068,92.821468684,27.999617650000005,23604.0
142,IN,washington,2806.0,6127.0,18175,27792,21160.0,97.01352907,0.046776051,1.277345999,0.4677605070000001,50.40659182,37.24453079999999,15.46488198,44883,8.659603869,14.48908573,87.29305072,76.84523388,Rep,47.290587220000006,49.59340818,85.51091427,12.706949280000003,8933.0
